Mois,Ref Employe,Salaire Base,Salaire
01/05/2025,1,800000,junior
01/05/2025,2,750000,junior
01/05/2025,3,1200000,senior
01/05/2025,4,700000,junior
01/05/2025,5,2000000,manager
01/05/2025,6,850000,junior
01/05/2025,7,1100000,senior
01/05/2025,8,900000,junior
01/05/2025,9,1800000,manager
01/05/2025,10,950000,junior
01/04/2025,1,800000,junior
01/04/2025,2,750000,junior
01/04/2025,3,1200000,senior
01/04/2025,4,700000,junior
01/04/2025,5,1950000,manager
01/04/2025,6,850000,junior
01/04/2025,7,1100000,senior
01/04/2025,8,900000,junior
01/04/2025,9,1750000,manager
01/04/2025,10,950000,junior
